iter	Logloss
0	0.6120050078
1	0.5289297622
2	0.4756467989
3	0.4409938277
4	0.4124369724
5	0.3906363679
6	0.3658258322
7	0.3379851849
8	0.319704485
9	0.3020036879
10	0.2903648733
11	0.2765517203
12	0.263683499
13	0.2540438618
14	0.2463330649
15	0.2408159942
16	0.2333634268
17	0.2252232781
18	0.2163223999
19	0.2073799084
20	0.2017979462
21	0.1975145509
22	0.1911876006
23	0.1864867482
24	0.1820042369
25	0.1781391897
26	0.1742093672
27	0.172015281
28	0.1702756937
29	0.16711136
30	0.1645988589
31	0.1625203458
32	0.1609701967
33	0.1596360851
34	0.1557739486
35	0.1528738456
36	0.1519462844
37	0.1503373091
38	0.1478415804
39	0.1453576256
40	0.1426211088
41	0.1413765256
42	0.1390641149
43	0.1377488774
44	0.1364560099
45	0.1348533368
46	0.1339647242
47	0.1317061419
48	0.1300083401
49	0.1288817139
50	0.1269279404
51	0.1256595419
52	0.1240762344
53	0.1223155498
54	0.1204510284
55	0.1192466738
56	0.1181183164
57	0.1170919401
58	0.1163059397
59	0.1155840045
60	0.1145570002
61	0.1135033018
62	0.1114485355
63	0.1097837027
64	0.1084542966
65	0.1076039555
66	0.1065287967
67	0.1053705906
68	0.1046411594
69	0.1031908058
70	0.1018702486
71	0.1014189106
72	0.1004369588
73	0.09887938455
74	0.09838063044
75	0.09756804757
76	0.09618697903
77	0.09548400415
78	0.09467706392
79	0.09348574929
80	0.09315164124
81	0.0919890581
82	0.09137146055
83	0.09004410057
84	0.0894558653
85	0.08798190942
86	0.08724661294
87	0.08640788227
88	0.08578470814
89	0.08523816737
90	0.0847016381
91	0.08408346319
92	0.08314855427
93	0.08241852806
94	0.08187113147
95	0.08166880658
96	0.08059645152
97	0.08013150084
98	0.07959911635
99	0.07884093217
100	0.0782784565
101	0.07780961434
102	0.07753085325
103	0.07698591566
104	0.07631623101
105	0.07579931317
106	0.07519271808
107	0.07480190935
108	0.07453878869
109	0.07414581479
110	0.07357945397
111	0.07309623612
112	0.07261794037
113	0.07237756747
114	0.07180962859
115	0.07115122819
116	0.07043895594
117	0.07000498107
118	0.06964983644
119	0.06916675847
120	0.06867834125
121	0.06823831841
122	0.0676813178
123	0.06726696969
124	0.06704010585
125	0.06662230841
126	0.06621846507
127	0.06596775014
128	0.06537569013
129	0.06512142645
130	0.0647198185
131	0.06430719974
132	0.06396960583
133	0.06366765441
134	0.06351630525
135	0.06298686292
136	0.06283456605
137	0.06252242938
138	0.06239943225
139	0.06210936537
140	0.06188105514
141	0.06151128358
142	0.06105681412
143	0.06060676711
144	0.05995726989
145	0.05945481532
146	0.05921796604
147	0.05880426727
148	0.05844283951
149	0.05820683555
150	0.05796663869
151	0.05751695165
152	0.05734905683
153	0.05711719487
154	0.0568783833
155	0.05645853342
156	0.05616925467
157	0.05561415184
158	0.05544453853
159	0.0550177118
160	0.0545789783
161	0.05431728023
162	0.05404174258
163	0.05374980608
164	0.05351755667
165	0.05308586192
166	0.05268227966
167	0.05209401428
168	0.051865753
169	0.05144800788
170	0.05113940142
171	0.05085700419
172	0.05063011841
173	0.05041245197
174	0.0499336937
175	0.04971418139
176	0.0493789015
177	0.04905510277
178	0.04876402856
179	0.04863413662
180	0.04841534148
181	0.04815490412
182	0.04795116541
183	0.04762217872
184	0.04753292475
185	0.04715740674
186	0.04682212039
187	0.0467156658
188	0.04640701699
189	0.04610393421
190	0.04585398502
191	0.0456331191
192	0.04521554643
193	0.04505167852
194	0.04480505903
195	0.04466138239
196	0.04452791129
197	0.04428765627
198	0.0441148519
199	0.04367131537
